1,74724,116.34,39.928,1,-6,-46,-97,74723,74724,116.34,116.34,39.928,39.928
2,74904,116.34,39.927,1,94,26,15,74754,75054,116.34,116.34,39.927,39.927
3,75158,116.34,39.927,1,99,49,26,75058,75257,116.34,116.34,39.927,39.927
4,75384,116.34,39.927,1,38,33,41,75262,75507,116.34,116.34,39.927,39.928
5,75816,116.34,39.928,1,-0,0,0,75512,76121,116.34,116.34,39.928,39.928
6,76511,116.34,39.927,1,-95,-88,-137,76122,76900,116.34,116.34,39.928,39.927
7,77175,116.34,39.927,1,-98,-39,-158,76905,77445,116.34,116.34,39.927,39.926
8,77836,116.34,39.926,1,-74,-21,-164,77450,78223,116.34,116.34,39.926,39.926
9,78997,116.34,39.926,1,29,14,26,78577,79417,116.34,116.34,39.926,39.926
10,81222,116.34,39.926,1,-27,44,122,79422,83022,116.34,116.34,39.926,39.927
11,83044,116.34,39.927,1,-6,-7,-131,83027,83062,116.34,116.34,39.927,39.927
12,84420,116.34,39.927,1,-44,-21,-154,84215,84624,116.34,116.34,39.927,39.926
13,84730,116.34,39.926,1,-32,-12,-159,84629,84831,116.34,116.34,39.926,39.926
14,85062,116.34,39.927,1,90,66,36,84836,85289,116.34,116.34,39.926,39.927
15,86304,116.34,39.927,1,-23,-73,-107,85602,87005,116.34,116.34,39.927,39.926
16,87168,116.34,39.926,1,-28,-66,-113,87007,87330,116.34,116.34,39.926,39.926
17,87666,116.34,39.926,1,54,84,57,87335,87996,116.34,116.34,39.926,39.926
18,88532,116.34,39.926,1,1e-05,-7.9e-05,-83,88001,89062,116.34,116.34,39.926,39.926
1,29316,116.34,39.927,2,90,-11,-7,29285,29346,116.34,116.34,39.927,39.927
2,29492,116.34,39.927,2,37,87,67,29349,29636,116.34,116.34,39.927,39.928
3,29698,116.34,39.928,2,-5,-94,-93,29637,29760,116.34,116.34,39.928,39.927
4,29768,116.34,39.927,2,-8,-91,-95,29762,29773,116.34,116.34,39.927,39.926
5,29780,116.34,39.926,2,3,-98,-88,29775,29785,116.34,116.34,39.926,39.925
6,29790,116.34,39.925,2,10,-96,-84,29786,29794,116.34,116.34,39.925,39.924
7,29838,116.34,39.924,2,29,-94,-73,29796,29881,116.34,116.34,39.924,39.923
8,29979,116.34,39.923,2,98,-71,-36,29886,30072,116.34,116.34,39.923,39.922
9,30086,116.34,39.922,2,96,7,4,30077,30095,116.34,116.34,39.922,39.923
10,30102,116.34,39.922,2,96,-8,-5,30097,30106,116.34,116.34,39.923,39.922
11,30110,116.34,39.922,2,95,-1,-1,30107,30114,116.34,116.34,39.922,39.922
12,30135,116.34,39.922,2,98,12,7,30115,30155,116.34,116.34,39.922,39.923
13,30161,116.35,39.923,2,87,-15,-10,30157,30165,116.34,116.35,39.923,39.922
14,30175,116.35,39.922,2,93,3,2,30166,30184,116.35,116.35,39.922,39.922
15,30218,116.35,39.922,2,88,-10,-6,30189,30247,116.35,116.35,39.922,39.922
16,31126,116.38,39.899,2,97,12,7,31083,31169,116.38,116.38,39.899,39.899
17,31204,116.38,39.899,2,98,3,2,31174,31234,116.38,116.38,39.899,39.899
18,31264,116.38,39.899,2,89,17,11,31239,31288,116.38,116.38,39.899,39.899
19,31318,116.38,39.899,2,95,20,12,31292,31345,116.38,116.38,39.899,39.9
20,31384,116.38,39.899,2,96,-16,-9,31350,31417,116.38,116.39,39.9,39.899
21,31468,116.39,39.9,2,8,77,84,31422,31513,116.39,116.39,39.899,39.9
22,31550,116.39,39.9,2,91,48,28,31518,31581,116.39,116.39,39.9,39.901
23,31601,116.39,39.901,2,37,42,49,31585,31617,116.39,116.39,39.901,39.901
24,31814,116.38,39.902,2,56,-66,-50,31811,31817,116.38,116.38,39.902,39.902
25,31886,116.39,39.899,2,-97,65,146,31884,31888,116.39,116.39,39.899,39.899
26,32288,116.39,39.901,2,-99,75,143,31889,32687,116.39,116.39,39.9,39.901
27,33444,116.39,39.901,2,28,-17,-31,32692,34197,116.39,116.39,39.901,39.901
28,42254,116.38,39.899,2,-70,-32,-155,42215,42293,116.39,116.38,39.899,39.899
29,42333,116.38,39.899,2,-98,8,175,42298,42368,116.38,116.38,39.899,39.899
30,42403,116.38,39.899,2,-94,8,175,42373,42433,116.38,116.38,39.899,39.899
31,42476,116.38,39.899,2,-98,1,179,42438,42513,116.38,116.38,39.899,39.899
32,42556,116.38,39.899,2,-96,3,178,42518,42593,116.38,116.38,39.899,39.899
